date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:58:30	51/51	U--MCZ	200	updated ('OK')	text/plain	date:Sat,%2028%20Feb%202026%2001:58:23%20GMT	https://fonts.googleapis.com/robots.txt		(from https://asesoriabeca18.web.app/calculadoras/seleccion.html)
20:58:39	5994/5994	U-----	200	untouched ('OK')	text/css	date:Tue,%2004%20Mar%202025%2007:04:39%20GMT	https://asesoriabeca18.web.app/assets/css/components/header.css	C:/My%20Web%20Sites/beca18-2026/asesoriabeca18.web.app/assets/css/components/header.css	(from https://asesoriabeca18.web.app/calculadoras/seleccion.html)
20:59:09	1863/1863	U-----	200	untouched ('OK')	text/css	date:Tue,%2004%20Mar%202025%2007:04:39%20GMT	https://asesoriabeca18.web.app/assets/css/components/footer.css	C:/My%20Web%20Sites/beca18-2026/asesoriabeca18.web.app/assets/css/components/footer.css	(from https://asesoriabeca18.web.app/calculadoras/seleccion.html)
20:59:09	3435/3435	U-----	200	untouched ('OK')	text/css	date:Tue,%2004%20Mar%202025%2007:04:39%20GMT	https://asesoriabeca18.web.app/assets/css/components/buttons.css	C:/My%20Web%20Sites/beca18-2026/asesoriabeca18.web.app/assets/css/components/buttons.css	(from https://asesoriabeca18.web.app/calculadoras/seleccion.html)
20:59:15	4359/4359	U-----	200	untouched ('OK')	text/css	date:Tue,%2004%20Mar%202025%2007:04:39%20GMT	https://asesoriabeca18.web.app/assets/css/components/cards.css	C:/My%20Web%20Sites/beca18-2026/asesoriabeca18.web.app/assets/css/components/cards.css	(from https://asesoriabeca18.web.app/calculadoras/seleccion.html)
20:59:24	6241/6241	U-----	200	untouched ('OK')	text/css	date:Tue,%2004%20Mar%202025%2007:04:39%20GMT	https://asesoriabeca18.web.app/assets/css/pages/calculadoras.css	C:/My%20Web%20Sites/beca18-2026/asesoriabeca18.web.app/assets/css/pages/calculadoras.css	(from https://asesoriabeca18.web.app/calculadoras/seleccion.html)
20:59:55	3285/3285	U-----	200	untouched ('')	text/javascript	date:Tue,%2004%20Mar%202025%2007:04:39%20GMT	https://asesoriabeca18.web.app/assets/js/components/header.js	C:/My%20Web%20Sites/beca18-2026/asesoriabeca18.web.app/assets/js/components/header.js	(from https://asesoriabeca18.web.app/calculadoras/seleccion.html)
20:59:55	3841/3841	U-----	200	untouched ('')	text/javascript	date:Tue,%2004%20Mar%202025%2007:04:39%20GMT	https://asesoriabeca18.web.app/assets/js/common.js	C:/My%20Web%20Sites/beca18-2026/asesoriabeca18.web.app/assets/js/common.js	(from https://asesoriabeca18.web.app/calculadoras/seleccion.html)
20:59:55	27882/27882	U-----	200	untouched ('')	text/javascript	date:Tue,%2004%20Mar%202025%2007:04:39%20GMT	https://asesoriabeca18.web.app/assets/js/pages/calculadora-seleccion.js	C:/My%20Web%20Sites/beca18-2026/asesoriabeca18.web.app/assets/js/pages/calculadora-seleccion.js	(from https://asesoriabeca18.web.app/calculadoras/seleccion.html)
20:59:55	80599/80599	U-----	200	untouched ('')	application/javascript	etag:W/%2213ad7-v/eN2cAqUAirQ2QpSHOc5Yx2GyE%22	https://cdn.jsdelivr.net/npm/bootstrap@5.3.0-alpha1/dist/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/beca18-2026/cdn.jsdelivr.net/npm/bootstrap@5.3.0-alpha1/dist/js/bootstrap.bundle.min.js	(from https://asesoriabeca18.web.app/calculadoras/seleccion.html)
